company name,website url,phone number,kvk number
 101BHVSHOP.nl,http://www.101bhvshop.nl,085 7920131,KvK 71473300
 1-2-Taste BV,http://www.12taste.com,085 0027748,KvK 71245774
 Abigo4u,http://www.abigo4u.com,0412 660073,KvK 17140959
 Ad Hoc Data,http://www.adhocdata.nl,070-24 00 862,KvK 28077834
 Advion,http://www.advion.nl,088-1104646,KvK 28080998
 AGS.nl,http://www.ags.nl,0786176833,KvK 23074822
 Ah.nl,http://www.ah.nl,0800 2352523,KvK 35012085
 Albeka,http://www.albeka.nl,078 6912182,KvK 23082521
 Alertshop.nl,http://www.alertshop.nl,0493 312386,KvK 28086239
 Alles voor leren,https://www.allesvoorleren.nl,0753030605,KvK 57542171
 Allgifts.nl,http://www.allgifts.nl,038 7601900,KvK 08174590
 Alternate Nederland,https://zakelijk.alternate.nl/,088 5444500,KvK 24287108
 Amko Werkkleding,https://workwearplaza.nl/,0251-296776,KvK 70771219
 Archiefkast.shop,http://www.archiefkast.shop,0318 202053,KvK 54415993
 Archiefkastspecialist.nl,http://www.archiefkastspecialist.nl,0318 202053,KvK 54415993
 Arcobel Embedded Solutions BV,http://www.arcobel.com,0412 660066,KvK 17140959
 AsTools,https://www.astools.nl/,0613150303,KvK 80799671
 Auto Financier B.V.,http://financialleasezzp.nl,0857731079,KvK 64791513
 Badkamerxxl,http://www.badkamerxxl.nl,0511  542328,KvK 60032928
 Beautylookz,http://www.beautylookz.nl,0492746011,KvK 67462731
 Bedrijfsverlichting.nl,https://www.bedrijfsverlichting.nl,030 - 227 0494,KvK 78438799
 Beemster Cheese Company,http://www.beemstershop.nl,0299-689200,KvK 75402696
 Beez,http://www.beez.nl,088-7722200,KvK 08110326
 BES LED,http://www.besled.nl,085 - 301 08 74,KvK 75407663
 Bevestigingsprofi.nl,https://www.bevestigingsprofi.nl/,088 597 0000,KvK 29042230
 BigBasket Europe BV,http://www.bigbasket.nl,+31 (0)85-0133111,KvK 69722145
 Bladvangers.nl,http://www.bladvangers.nl,0786176833,KvK 23074822
 Blinkink,http://www.blinkink.eu,0725070531,KvK 73936596
