company name,website url,phone number,kvk number
 123 3D B.V.,http://www.123-3D.nl,0294-787127,KvK 61927082
 123 Ventilatie,http://www.123ventilatie.nl,0347 326763,KvK 78434327
 123Accu B.V.,http://www.123accu.nl,0294-787125,KvK 59764198
 123apparatuur.nl,http://www.123apparatuur.nl,0318-456000,KvK 30187439
 123gold Nederland,http://www.123gold.nl,010  4120905,KvK 56171390
 123gordijn.nl,http://www.123gordijn.nl,085 0603330,KvK 04076227
 123impregneer,http://www.123impregneer.nl,0573 795 264,KvK 08075537
 123inkt.nl,http://www.123inkt.nl,0294-787123,KvK 33267823
 123kast.nl,http://www.123kast.nl,0629185424,KvK 74317334
 123led B.V.,http://www.123led.nl,0294-787125,KvK 60719052
 123Lens,http://www.123lens.nl,0182-586601,KvK 24301305
 123planten.nl,http://www.123planten.nl,085 4012700,KvK 74989952
 123schoon B.V.,http://www.123schoon.nl,0294-787125,KvK 61551791
 123test,https://www.123test.nl/,024 3620210,KvK 27187803
 123Watches.nl,https://www.123watches.nl,0650606700,KvK 71321233
 1op1dieet.nl,http://client.1op1dieet.nl,0334553237,KvK 31046948
 1voudigklussen.nl,http://1voudigklussen.nl,085 2100802,KvK 74228927
 1voudigvaren.nl,http://1voudigvaren.nl,, 
 24-drukwerk.nl,https://www.24-drukwerk.nl,0882400240, 
 2ZiP BV,http://www.2zip.nl,0655253344,KvK 68772505
 360Golf,http://www.360golf.nl,0592 421880,KvK 66165555
 4seasonsoutdooronline.nl,http://www.4seasonsoutdooronline.nl,035-8200321,KvK 69393605
 50plusmatch.nl,https://www.50plusmatch.nl,010 8700660,KvK 17136160
 A House of Happiness,http://www.ahouseofhappiness.com,088 200 4040,KvK 01048194
 A. Vogel,http://www.avogel.nl,0900 - 2 46 46 46 (Gebruikelijke belkosten),KvK 08009304
 AAA Testlabel123,http://www.testrelatie123.org,0318-648577,KvK 667788990
 AAA This is Mr Brownn,http://www.mrbrown.com,, 
 Abeautifulstory.eu,http://www.abeautifulstory.eu,+31 (0) 20 707 02 88,KvK 56453663
 About Art,http://www.aboutart.nl,020 226 35 55,KvK 34247563
 About You,http://www.aboutyou.nl,0800 / 02 29 967,KvK HRB 168438
 Accense,http://www.accense.nl,0316 840935,KvK 09107171
 AccessMarket.nl,https://www.accessmarket.nl,0103076839,KvK 70896119
 Accu.nl,http://www.accu.nl,085 20 84 222,KvK 64428710
 Action Nederland B.V.,http://shop.action.com,0228565656,KvK 37112677
 Activebastards.com,http://www.activebastards.com,030 808 0237,KvK 30053703
 Adam Holding B.V.,http://www.adam.nl,06 53732815,KvK 70685614
 AEDwinkel.nl,http://www.aedwinkel.nl,0118  620074,KvK 22048236
 afdekzeilwinkel.nl,http://www.afdekzeilwinkel.nl,0031 413287001,KvK 83188495
 Afzuigkap.nl,http://www.afzuigkap.nl,06-11907996,KvK 02052752
 Agradi,http://www.agradi.nl,073 522 66 11,KvK 17104848
 Agrishop.nl,http://www.agrishop.nl,0548744190,KvK HRA9110FL
 Agroposta,http://www.agroposta.com,020-6126070,KvK 60201614
 Ah.nl,http://www.ah.nl,0800-2352523,KvK 35012085
 Ahh Bra BH,https://ahhbrabh.nl,0854013417,KvK 73279323
 Aircoshop.nl,http://www.aircoshop.nl,088-0233366,KvK 09191118
 Aircounit,https://www.aircounit.com,+31 (0) 182-763058,KvK 60372516
 Airhockeytafelland.nl,http://www.airhockeytafelland.nl,023 3030900,KvK 83108270
 Akoestiekwinkel.nl,http://www.akoestiekwinkel.nl,0183-643885,KvK 23059664
 AlkaVitae Benelux,http://shop.alka.nl,040 30 400 17,KvK 55170978
 All Over Piercings,http://www.alloverpiercings.nl,072-7370119,KvK 70852588
 AlleCondooms.nl,http://www.allecondooms.nl,0598 690453,KvK 04086094
 Allekabels.nl,http://www.allekabels.nl,045 5717001,KvK 14123564
 Alles voor leren,https://www.allesvoorleren.nl,0753030605,KvK 57542171
 Alletheorieboeken.nl,http://www.alletheorieboeken.nl,046 7504767,KvK 14076466
 Allezadenkopen.nl,https://www.allezadenkopen.nl,022 9703833,KvK 84906642
 Alliance Nutrition B.V.,http://www.newday-supplements.nl/,088 6686100,KvK 69511969
 ALLPAX GmbH & Co. KG,http://www.allpax.nl,070 3114189,KvK HRA 201837
 Allvit,http://www.allvit.nl,0317 411626,KvK 73042331
 almaro winkel,https://www.almarowinkel.nl,0356315868,KvK 83855882
 Alternate Nederland,http://www.alternate.nl,088-5444555,KvK 24287108
 AluminiumOpMaat,http://www.aluminiumopmaat.nl,0174  622721,KvK 57826803
 Amazon.nl,http://www.amazon.nl,www.amazon.nl/contact-us, 
 Amko Werkkleding,https://workwearplaza.nl/,0251-296776,KvK 70771219
 Amsklokken.nl,http://www.amsklokken.nl,0475  564464,KvK 50285394
 Amsterdamflowers.nl,http://www.amsterdamflowers.nl,020  6191818,KvK 33186727
 Amsterdenim BV,http://www.amsterdenim.com,0203346678,KvK 60110236
 AndLight,http://www.andlight.nl,+45 44 44 62 44,KvK DK 32562744
 Annadiva.nl,http://www.annadiva.nl,073-8512017,KvK 64818578
 ANWB.nl,http://www.anwb.nl/webwinkel,088-2692 222, 
 Appeltern.nl,https://appeltern.nl/nl/,0487-541732,KvK 10145288
 Aquacombi,https://webshop.aquacombi.nl/,0889899100,KvK 55407528
 ArchitectDirect.nl,http://www.architectdirect.nl,0853032977,KvK 73026573
 Arpdesign,http://www.arpdesign.com,06-18080081,KvK 84849533
 Arrow Bow Europe,https://www.arrowbow.eu/,, 
 Artleader.com,http://www.artleader.com,058-2038191,KvK 78636205
 Asbas Computers,http://www.asbascomputers.nl,030 7852041,KvK 72048646
 AsTools,https://www.astools.nl/,0613150303,KvK 80799671
