name of bidder,url,direction of activity,created date
b'1520 Signal Ltd \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1621552076440,No data,2021-05-27
b'AME International GmbH \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1646969322026,No data,2022-03-11
b'ANHUI GANGTAI MACHINERY MANUFACTURE GROUP COLTD \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1582257569189,No data,2020-02-24
b'Airways International Limited \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1577207137645,No data,2020-01-08
b'Andritz Delkhor \xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1589512528146,No data,2020-05-30
b'Ardashev Konstantin \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1583719723971,No data,2020-03-11
b'BEIJING RIVERSTONE MINING TECHNOLOGY COLTD \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1589512898730,No data,2020-06-09
b'BERIS Engineering and researching corporation \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1506682282104,No data,2017-10-18
b'Baoding Hua Yue rubber belts company \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1583398118129,No data,2020-03-06
b'Baoding KAMA import and export trading CoLtd \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1647837745062,No data,2022-03-23
b'Baootou prefecture MENGXIN KEJI LLC \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1524226226158,No data,2018-04-26
b'Becker-Aero GmbH \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1557802127450,No data,2019-05-27
b'Beijing Darihan International trade coLTD \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1586021756567,No data,2020-04-05
b'Beiqi Foton Motor Co Ltd \xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1618540493399,No data,2021-05-11
b'Brightway Energy Machinery in China \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1650889919102,No data,2022-04-27
b'BuCET Aktiengesellschaft \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1572836718688,No data,2019-11-06
b'C&C Security Printing Co (shenzhen) Ltd \xd0\xa2\xd3\xa8\xd2\xae\xd0\x93',https://www.tender.gov.mn/en/bidder/entity/1586022321319,No data,2020-04-14
b'CALOEWE GmbH & CoKG \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1647242499136,No data,2022-03-15
b'CRSC Research & Design Institute Group CoLtd \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1589517387827,No data,2020-10-14
b'China Coal Xian Design Engineering Co Ltd \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1639472128904,No data,2021-12-15
b'China Constraction Fifth Enjineering Division Co ldt \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1649048587036,No data,2022-04-07
b'DMT GmbH & CoKG \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1529303798845,No data,2018-06-26
b'DSP Prerov sro \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1589517326429,No data,2020-10-12
b'Dag Karl \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1570643397300,No data,2019-11-01
b'Dalian Dongheng Mechanichal and Electrical Installation Engineering coLTD \xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1618540415187,No data,2021-05-10
b'Distritech \xd0\x91\xd1\x83\xd1\x81\xd0\xb0\xd0\xb4',https://www.tender.gov.mn/en/bidder/entity/1568003695400,No data,2019-09-16
b'Dniprovagonmash JSC \xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1618540651944,No data,2021-05-13
b'Dobersek Engineering gmbH \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1534481565833,No data,2018-08-20
b'Dudko Yuriy \xd0\xa1\xd0\xb0\xd0\xbb\xd0\xb1\xd0\xb0\xd1\x80',https://www.tender.gov.mn/en/bidder/entity/1583990643596,No data,2020-03-18
b'ERLIAN CITY KHAN UUL TRADING CO LTD \xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1582863508807,No data,2020-02-29
b'EUROIL Industrial and Trade Co Ltd \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1608125744475,No data,2020-12-17
b'EXCELLENT APPROACH (HK) CO LTD \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1560139422268,No data,2019-06-10
b'Erenhot Gegen Import & Export Trading CoLtd \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1589512364776,No data,2020-05-27
b'Erlian Brother Technology CoLtd \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1572837251848,No data,2019-11-27
